ID,Genes
188,BSND
190,CLCNKA
191,CLCNKB
192,"RASA1, GAP, CMAVM, PKWS"
193,PTCH2
193,"PTCH, NBCCS, BCNS, HPE7"
194,"SMOH, SMO"
194,"PTCH, NBCCS, BCNS, HPE7"
194,FTL
194,SLC19A3
195,"BCL7A, BCL7"
196,IFNGR1
196,"FGFR2, BEK, CFD1, JWS"
196,"DMD, BMD"
197,MYF6
198,"CDKN1C, KIP2, BWS"
199,"H19, D11S813E, ASM1, BWS"
200,"KCNQ10T1, LIT1"
200,"NSD1, ARA267, STO"
200,"NQO1, DIA4, NMOR1"
201,GP1BA
202,GP1BB
203,GP9
204,HLA-DPB1
205,ADRB2
207,"UPB1, BUP1"
207,"COL6A1, OPLL"
207,COL6A2
207,COL6A3
208,"CYP4V2, BCD"
209,"SLC10A2, NTCP2"
209,BTD
210,"XBP1, XBP2"
210,"FLCN, BHD"
211,"FGFR3, ACH"
212,"KRAS2, RASK2"
212,RB1
212,HRAS
212,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
212,TBXA2R
212,"P2RX1, P2X1"
212,"FOXL2, BPES, BPES1, PFRK, POF3"
212,"FOXL2, BPES, BPES1, PFRK, POF3"
212,"DRD5, DRD1B, DRD1L2"
212,ABO
212,"LU, AU, BCAM"
212,"AQP1, CHIP28, CO"
212,DAF
212,"SLC4A1, AE1, EPB3"
212,"ART4, DO"
212,"GYPC, GE, GPC"
212,AQP3
212,GCNT2
212,"CD44, MDU2, MDU3, MIC4"
212,KEL
212,"SLC14A1, JK, UTE, UT1"
212,"CR1, C3BR"
212,LW
212,"FUT3, LE"
212,"LU, AU, BCAM"
212,"GYPA, MN, GPA"
213,BSG
214,"A4GALT, PK"
214,"B3GALT3, GLCT3, P"
216,RHCE
216,"GYPB, SS, MNS"
217,"SLC4A1, AE1, EPB3"
218,"SLC4A1, AE1, EPB3"
220,XG
221,"ACHE, YT"
224,"RECQL3, RECQ2, BLM, BS"
224,"OPN1LW, RCP, CBP, CBBM"
224,"OPN1MW, GCP, CBD, CBBM"
224,"FUT1, H, HH"
224,"FUT2, SE"
224,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
225,"PHF6, BFLS"
225,"HOXA1, HOX1F, BSAS"
226,RLBP1
226,"IHH, BDA1"
226,"BMPR1B, ALK6"
228,"ROR2, BDB1, BDB, NTRKR2"
228,"GDF5, CDMP1"
228,"HOXD13, HOX4I, SPD"
228,"HOXD13, HOX4I, SPD"
228,"R9AP, RGS9, PERRS"
228,"RGS9, PERRS"
228,"EYA1, BOR"
228,"EYA1, BOR"
228,"EYA1, BOR"
228,"CHEK2, RAD53, CHK2, CDS1, LFS2"
228,PIK3CA
228,"PPM1D, WIP1"
228,"SLC22A1L, BWSCR1A, IMPT1"
228,"TP53, P53, LFS1"
228,"BRCA1, PSCP"
228,"BRCA2, FANCD1"
228,TSG101
228,"BRIP1, BACH1, FANCJ"
228,"RAD54L, HR54, HRAD54"
228,"CDH1, UVO"
228,"BRCA2, FANCD1"
228,"AR, DHTR, TFM, SBMA, KD, SMAX1"
231,"KRAS2, RASK2"
233,"RB1CC1, CC1, KIAA0203"
234,PHB
235,"ATM, ATA, AT1"
237,BARD1
238,"CHEK2, RAD53, CHK2, CDS1, LFS2"
239,"RAD51A, RECA"
240,XRCC3
240,"BRCA1, PSCP"
240,"ATP2A1, SERCA1"
240,PLOD2
240,"SCN5A, LQT3, IVF, HB1, SSS1"
240,MAOA
240,MYC
240,"LEMD3, MAN1"
240,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
240,C1QA
240,C1QB
240,C1QG
240,C1S
240,C2
252,IF
252,C3
253,"C4A, C4S"
254,"C4B, C4F"
254,C6
255,C7
255,C8B
256,C9
257,C9
258,"MSH2, COCA1, FCC1, HNPCC1"
259,"MLH1, COCA2, HNPCC2"
259,COL1A1
261,"FGF23, ADHR, HPDR2, PHPTC"
262,GALNT3
263,"SOX9, CMD1, SRA1"
263,"SOX9, CMD1, SRA1"
263,"PRG4, CACP, MSF, SZP, HAPO"
264,"TGFB1, DPD1, CED"
265,ASPA
267,FGFR4
268,"MSH6, GTBP, HNPCC5"
268,"RASA1, GAP, CMAVM, PKWS"
268,CPS1
268,"PMM2, CDG1"
268,"MPI, PMI1"
268,"MGAT2, CDGS2"
268,"CPN1, SCPN, CPN"
268,MEN1
268,"SDHD, PGL1"
268,SCO2
268,"MYL3, CMH8"
268,ACTC
268,"MYH7, CMH1, MPD1"
268,"LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B"
268,"TNNT2, CMH2, CMD1D"
268,"TTN, CMD1G"
268,"DES, CMD1I"
268,"EYA4, DFNA10, CMD1J"
268,"SGCD, SGD, LGMD2F, CMD1L"
268,"CSRP3, CRP3, CLP, CMD1M"
268,"TCAP, LGMD2G, CMD1N"
268,"ABCC9, SUR2"
268,"DMD, BMD"
268,"MYL2, CMH10"
268,"MYH7, CMH1, MPD1"
268,ACTC
268,"CAV3, LGMD1C"
268,"MYH6, ASD3, MYHCA"
268,TNNC1
268,"TNNT2, CMH2, CMD1D"
268,"TPM1, CMH3"
269,TNNI3
269,"MYBPC3, CMH4"
271,"TTN, CMD1G, TMD, LGMD2J"
272,TNNI3
275,COX15
276,"MYL2, CMH10"
277,"MYLK2, MLCK"
277,"PRKAG2, WPWS"
277,"PLN, PLB"
277,"TAZ, EFE2, BTHS, CMD3A, LVNCX"
277,"PRKAR1A, TSE1, CNC1, CAR"
277,MYH8
277,"SLC25A20, CACT, CAC"
277,"SLC22A5, OCTN2, CDSP, SCD"
277,"TTR, PALB"
277,"RMRP, RMRPR, CHH"
277,"CRYAA, CRYA1"
277,"CRYBB2, CRYB2"
277,PITX3
277,"BFSP2, CP49, CP47"
277,"CRYAA, CRYA1"
277,"PAX6, AN2, MGDA"
277,"CRYBA1, CRYB1"
277,"CRYGC, CRYG3, CCL"
277,"LIM2, MP19"
277,"CRYGD, CRYG4"
277,"BFSP2, CP49, CP47"
277,"HSF4, CTM"
279,"HSF4, CTM"
283,"MIP, AQP0"
284,"CRYAB, CRYA2, CTPP2"
287,CRYBB1
287,"CRYGD, CRYG4"
287,"CRYBB2, CRYB2"
